UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 0.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 1.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 2.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 3.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 4.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 5.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 6.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 7.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 8.900000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 9.900000, 0, 0, -1.000000, 5, 8
